latitude,longitude,DIFF_BLE_A1_A5,DIFF_BLE_A1_A3,A5_BLE_max,A5_WIFI_max,A3_BLE_max,A3_WIFI_max,DIFF_LORA_A1_A3,A5_BLE_mean,A5_WIFI_mean,A3_WIFI_mean,A3_BLE_mean,A5_WIFI_min,A5_BLE_min,A2_BLE_max,A3_WIFI_min,A3_BLE_min,A2_BLE_mean,A2_WIFI_max,A3_LORA_max,A2_BLE_min,A4_BLE_max,DIFF_LORA_A2_A3,A2_WIFI_mean,DIFF_LORA_A3_A5,A3_LORA_mean,A2_WIFI_min,A4_BLE_mean,A1_WIFI_max,DIFF_LORA_A3_A4,A1_BLE_max,A1_LORA_count,A4_WIFI_max,A1_WIFI_mean,A4_BLE_min,A3_LORA_min,A4_WIFI_mean,A1_WIFI_min,A1_BLE_mean,DIFF_LORA_A1_A5,A1_LORA_max,DIFF_LORA_A1_A2,A1_LORA_snr_mean,A4_WIFI_min,A1_BLE_min,DIFF_LORA_A1_A4,DIFF_BLE_A3_A5,A3_LORA_snr_mean,A1_LORA_mean,A5_LORA_max,DIFF_LORA_A2_A5,A5_LORA_mean,A4_LORA_snr_mean,A4_LORA_max,A5_LORA_count,DIFF_LORA_A2_A4,A5_LORA_snr_mean,A5_LORA_min,A4_LORA_mean,A2_LORA_max,A3_LORA_count,A3_BLE_count,A1_LORA_min,A4_LORA_count,A5_BLE_count,A2_LORA_snr_mean,A2_LORA_mean,A3_WIFI_count,A2_LORA_min,A2_BLE_count,DIFF_LORA_A4_A5,A5_WIFI_count,A4_LORA_min,A4_BLE_count,A1_LORA_std,A1_BLE_count,A3_BLE_std,A2_WIFI_count,A5_BLE_std,A4_WIFI_count,A1_LORA_snr_std,A1_WIFI_count,A3_LORA_snr_std,A3_WIFI_std,A2_BLE_std,A5_WIFI_std,A4_BLE_std,A1_BLE_std,A4_LORA_std,A4_LORA_snr_std,A1_WIFI_std,A3_LORA_std,A5_LORA_std,A2_LORA_count,A5_LORA_snr_std,A1_LORA_rate,A2_LORA_snr_std,A5_LORA_rate,A3_LORA_rate,A4_LORA_rate,A2_LORA_rate
12.8429,80.154,-7.571428571428569,-2.0,-81.0,-78.0,-93.0,-120.0,-11.392857142857139,-87.42857142857143,-84.0,-120.0,-93.0,-89.0,-97.0,-120.0,-120.0,-93.0,-120.0,-120.0,-95,-120.0,-74.0,-15.392857142857139,-120.0,9.392857142857139,-104.60714285714286,-120.0,-84.66666666666667,-91.0,5.131987577639748,-95.0,4.0,-77.0,-91.0,-95.0,-111,-81.83333333333333,-91.0,-95.0,-2.0,-115.0,4.0,-10.875,-88.0,-95.0,-6.260869565217391,-5.571428571428569,0.5892857142857143,-116.0,-110.0,-6.0,-114.0,-4.434782608695652,-102.0,18.0,-10.26086956521739,-8.61111111111111,-119.0,-109.73913043478261,-120.0,28,1.0,-117.0,23.0,7.0,-20.0,-120.0,0.0,-120.0,0.0,4.260869565217391,6.0,-117.0,6.0,0.816496580927726,1.0,0.0,0.0,5.563486402641868,6.0,1.299038105676658,1.0,3.9844688558818055,0.0,0.0,4.09878030638384,8.547904226573124,0.0,4.3297847028602385,4.321732469913192,0.0,4.2368689147834395,2.3514701283890216,0.0,2.616719744684597,0.13333333333333333,0.0,0.6,0.9333333333333333,0.7666666666666667,0.0
12.84295,80.15397,-29.5,-26.0,-87.0,-83.0,-94.0,-120.0,-20.066666666666663,-90.5,-86.5,-120.0,-94.0,-89.0,-94.0,-120.0,-120.0,-94.0,-120.0,-120.0,-88,-120.0,-85.0,-23.233333333333334,-120.0,14.425641025641028,-96.76666666666667,-120.0,-90.28571428571429,-120.0,17.433333333333337,-120.0,6.0,-88.0,-120.0,-96.0,-104,-90.0,-120.0,-120.0,-5.641025641025635,-116.0,3.1666666666666714,-10.3,-92.0,-120.0,-2.6333333333333258,-3.5,7.7,-116.83333333333333,-105.0,-8.807692307692307,-111.1923076923077,-8.214285714285714,-113.0,26.0,-5.799999999999997,-5.009615384615385,-115.0,-114.2,-120.0,30,1.0,-118.0,5.0,6.0,-20.0,-120.0,0.0,-120.0,0.0,-3.0076923076923094,4.0,-116.0,7.0,0.7527726527090811,0.0,0.0,0.0,2.8809720581775866,3.0,0.4808846015417836,0.0,2.7152189217636664,0.0,0.0,3.0,3.8606685826112948,0.0,1.0954451150103321,1.9760470401187076,0.0,4.0741686973801965,3.0334037748935536,0.0,3.145219204785868,0.2,0.0,0.8666666666666667,1.0,0.16666666666666666,0.0
12.84303,80.15392,-27.5,0.0,-91.0,-120.0,-120.0,-120.0,7.068965517241381,-92.5,-120.0,-120.0,-120.0,-120.0,-94.0,-96.0,-120.0,-120.0,-96.0,-120.0,-95,-96.0,-89.0,-14.06896551724138,-120.0,7.497536945812811,-105.93103448275862,-120.0,-90.75,-120.0,10.735632183908052,-120.0,29.0,-82.0,-120.0,-92.0,-115,-82.0,-120.0,-120.0,14.566502463054192,-92.0,21.13793103448276,5.551724137931035,-82.0,-120.0,17.804597701149433,-27.5,-0.6724137931034483,-98.86206896551724,-111.0,-6.571428571428569,-113.42857142857143,-11.25,-115.0,14.0,-3.3333333333333286,-6.722222222222222,-117.0,-116.66666666666667,-120.0,29,0.0,-108.0,3.0,2.0,-20.0,-120.0,0.0,-120.0,1.0,-3.238095238095241,0.0,-118.0,4.0,4.248732062384146,0.0,0.0,0.0,2.1213203435596424,1.0,3.2004319674576935,0.0,5.30671047904202,0.0,0.0,0.0,1.5,0.0,1.5275252316519468,1.14564392373896,0.0,5.612047210388168,1.696797241605749,0.0,3.3627379523161944,0.9666666666666667,0.0,0.4666666666666667,0.9666666666666667,0.1,0.0
12.84311,80.15389,-1.3333333333333286,27.5,-88.0,-88.0,-120.0,-120.0,3.896551724137936,-91.16666666666667,-88.0,-120.0,-120.0,-88.0,-94.0,-120.0,-120.0,-120.0,-120.0,-120.0,-96,-120.0,-120.0,-15.0,-120.0,8.25,-105.0,-120.0,-120.0,-90.0,9.400000000000006,-91.0,29.0,-120.0,-90.0,-120.0,-117,-120.0,-90.0,-92.5,12.146551724137936,-93.0,18.896551724137936,3.7327586206896552,-120.0,-94.0,13.296551724137942,-28.83333333333333,0.5555555555555556,-101.10344827586206,-110.0,-6.75,-113.25,-8.875,-113.0,12.0,-5.599999999999994,-7.291666666666667,-116.0,-114.4,-120.0,27,0.0,-111.0,5.0,6.0,-20.0,-120.0,0.0,-120.0,0.0,-1.1500000000000057,1.0,-116.0,0.0,4.980998376589397,2.0,0.0,0.0,2.5625508125043424,0.0,4.51234963861221,1.0,5.027966658396684,0.0,0.0,0.0,0.0,2.1213203435596424,1.3416407864998738,0.14433756729740643,0.0,5.629592142625227,2.0056737702645644,0.0,1.9938351957668887,0.9666666666666667,0.0,0.4,0.9,0.16666666666666666,0.0
12.84316,80.15384,-4.0,1.0,-88.0,-88.0,-94.0,-120.0,-3.685676392572944,-89.0,-89.5,-120.0,-94.0,-91.0,-90.0,-120.0,-120.0,-94.0,-120.0,-120.0,-97,-120.0,-120.0,-17.961538461538467,-120.0,12.5,-102.03846153846153,-120.0,-120.0,-120.0,17.961538461538467,-93.0,29.0,-90.0,-120.0,-120.0,-112,-90.0,-120.0,-93.0,8.814323607427056,-95.0,14.275862068965523,-0.6724137931034483,-90.0,-93.0,14.275862068965523,-5.0,3.31,-105.72413793103448,-110.0,-5.461538461538467,-114.53846153846153,-20.0,-120.0,13.0,0.0,-9.173076923076923,-118.0,-120.0,-120.0,26,1.0,-118.0,0.0,2.0,-20.0,-120.0,0.0,-120.0,0.0,-5.461538461538467,2.0,-120.0,0.0,6.052724013227066,1.0,0.0,0.0,1.4142135623730951,1.0,5.76941731099202,0.0,2.3982198258986465,0.0,0.0,2.1213203435596424,0.0,0.0,0.0,0.0,0.0,3.3284322944085165,2.1061570302086774,0.0,2.0901171602543585,0.9666666666666667,0.0,0.43333333333333335,0.8666666666666667,0.0,0.0
12.8432,80.15378,-0.6666666666666714,29.33333333333333,-90.0,-120.0,-120.0,-120.0,5.309113300492598,-90.0,-120.0,-120.0,-120.0,-120.0,-90.0,-120.0,-120.0,-120.0,-120.0,-120.0,-95,-120.0,-91.0,-15.035714285714292,-120.0,-6.156593406593402,-104.96428571428571,-120.0,-91.0,-87.0,15.035714285714292,-88.0,29.0,-120.0,-87.0,-91.0,-118,-120.0,-87.0,-90.66666666666667,-0.8474801061008037,-93.0,20.34482758620689,5.232758620689655,-120.0,-94.0,20.34482758620689,-30.0,0.5267857142857143,-99.65517241379311,-94.0,-21.192307692307693,-98.8076923076923,-20.0,-120.0,26.0,0.0,6.0673076923076925,-102.0,-120.0,-120.0,28,0.0,-106.0,0.0,2.0,-20.0,-120.0,0.0,-120.0,0.0,-21.192307692307693,0.0,-120.0,1.0,3.3729582402752034,3.0,0.0,0.0,0.0,0.0,2.7107021975755448,1.0,5.703856430048286,0.0,0.0,0.0,0.0,3.055050463303893,0.0,0.0,0.0,6.286270417918384,2.2981597989562133,0.0,1.7938195175486473,0.9666666666666667,0.0,0.8666666666666667,0.9333333333333333,0.0,0.0
12.84324,80.15374,28.66666666666667,28.66666666666667,-120.0,-120.0,-120.0,-120.0,2.429802955665025,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-98,-120.0,-92.0,-14.535714285714292,-120.0,-2.429802955665025,-105.46428571428571,-120.0,-92.0,-86.0,14.535714285714292,-89.0,29.0,-120.0,-88.5,-92.0,-114,-120.0,-91.0,-91.33333333333333,0.0,-95.0,16.965517241379317,1.7758620689655173,-120.0,-93.0,16.965517241379317,0.0,-0.33035714285714285,-103.03448275862068,-98.0,-16.965517241379317,-103.03448275862068,-20.0,-120.0,29.0,0.0,2.0086206896551726,-110.0,-120.0,-120.0,28,0.0,-113.0,0.0,0.0,-20.0,-120.0,0.0,-120.0,0.0,-16.965517241379317,0.0,-120.0,1.0,4.791978107962526,3.0,0.0,0.0,0.0,0.0,4.444772625746033,2.0,4.749295060472509,0.0,0.0,0.0,0.0,2.0816659994661326,0.0,0.0,3.5355339059327378,4.947742791431132,3.765280852934855,0.0,3.8622964339680563,0.9666666666666667,0.0,0.9666666666666667,0.9333333333333333,0.0,0.0
12.84324,80.15377,-1.0,2.0,-90.0,-120.0,-94.0,-120.0,2.394252873563218,-91.0,-120.0,-120.0,-94.0,-120.0,-92.0,-120.0,-120.0,-94.0,-120.0,-120.0,-101,-120.0,-120.0,-12.172413793103445,-120.0,-7.760919540229892,-107.82758620689656,-120.0,-120.0,-89.0,12.172413793103445,-90.0,30.0,-120.0,-89.0,-120.0,-115,-120.0,-89.0,-92.0,-5.366666666666674,-95.0,14.566666666666663,2.7672413793103448,-120.0,-94.0,14.566666666666663,-3.0,0.6293103448275862,-105.43333333333334,-90.0,-19.933333333333337,-100.06666666666666,-20.0,-120.0,30.0,0.0,6.55,-110.0,-120.0,-120.0,29,1.0,-121.0,0.0,2.0,-20.0,-120.0,0.0,-120.0,0.0,-19.933333333333337,0.0,-120.0,0.0,6.360889838712023,2.0,0.0,0.0,1.4142135623730951,0.0,4.942495679997913,1.0,3.8380267726253767,0.0,0.0,0.0,0.0,2.8284271247461903,0.0,0.0,0.0,3.9647461233552015,5.735150741086802,0.0,4.1306257353477625,1.0,0.0,1.0,0.9666666666666667,0.0,0.0
12.84319,80.15383,-27.66666666666667,-24.0,-91.0,-89.0,-96.0,-120.0,3.5086206896551744,-92.33333333333333,-89.0,-120.0,-96.0,-89.0,-93.0,-120.0,-120.0,-96.0,-120.0,-120.0,-98,-120.0,-120.0,-15.241379310344826,-120.0,-4.825287356321837,-104.75862068965517,-120.0,-120.0,-88.0,15.241379310344826,-120.0,28.0,-120.0,-88.0,-120.0,-115,-120.0,-88.0,-120.0,-1.3166666666666629,-96.0,18.75,6.035714285714286,-120.0,-120.0,18.75,-3.6666666666666714,3.2327586206896552,-101.25,-91.0,-20.066666666666663,-99.93333333333334,-20.0,-120.0,30.0,0.0,7.5,-115.0,-120.0,-120.0,29,1.0,-107.0,0.0,3.0,-20.0,-120.0,0.0,-120.0,0.0,-20.066666666666663,1.0,-120.0,0.0,3.110615039815426,0.0,0.0,0.0,1.1547005383792517,0.0,2.5163486606610346,1.0,4.281882009910833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7932629239515,6.517527208960484,0.0,3.1301880012352172,0.9333333333333333,0.0,1.0,0.9666666666666667,0.0,0.0
12.84321,80.15385,-4.400000000000006,-4.0,-91.0,-88.0,-93.0,-91.0,8.131034482758622,-92.6,-90.0,-91.0,-93.0,-92.0,-95.0,-120.0,-91.0,-93.0,-120.0,-120.0,-104,-120.0,-120.0,-9.799999999999997,-120.0,-12.960000000000008,-110.2,-120.0,-120.0,-120.0,9.799999999999997,-97.0,29.0,-120.0,-120.0,-120.0,-120,-120.0,-120.0,-97.0,-4.828965517241386,-97.0,17.93103448275862,6.396551724137931,-120.0,-97.0,17.93103448275862,-0.4000000000000057,-0.9166666666666666,-102.06896551724138,-91.0,-22.760000000000005,-97.24,-20.0,-120.0,25.0,0.0,9.2,-102.0,-120.0,-120.0,30,1.0,-109.0,0.0,5.0,-20.0,-120.0,1.0,-120.0,0.0,-22.760000000000005,2.0,-120.0,0.0,3.326635306590458,1.0,0.0,0.0,1.6733200530681511,0.0,2.4481381786720946,0.0,4.087055540178742,0.0,0.0,2.8284271247461903,0.0,0.0,0.0,0.0,0.0,4.071769927786636,3.126233090051562,0.0,1.75,0.9666666666666667,0.0,0.8333333333333334,1.0,0.0,0.0
